id_punionice,naziv_punionice,adresa,geografska_sirina,geografska_duzina,vrsta_punjenja,broj_punjaca,snaga_punjenja,cijena_po_kwh,otvorenje,zatvaranje,id_stanice,tip_konektora,snaga_stanice,pruzatelj
"121","Electric Vehicle Charging Station","Ulica Bartula Kašića 6, 10000, Zagreb","45.812231","15.996305","standardno","4","22.00","0.43","null","null","107","Type 2","11.00","https://www.petrol.hr/"
"121","Electric Vehicle Charging Station","Ulica Bartula Kašića 6, 10000, Zagreb","45.812231","15.996305","standardno","4","22.00","0.43","null","null","106","Type 2","21.00","https://www.petrol.hr/"
"121","Electric Vehicle Charging Station","Ulica Bartula Kašića 6, 10000, Zagreb","45.812231","15.996305","standardno","4","22.00","0.43","null","null","105","Type 2","22.00","https://www.petrol.hr/"
"122","Petrol Charging Station","Radnička cesta 55, 10000, Zagreb","45.801092","16.008394","brzo","6","50.00","0.55","null","null","111","Type 2","11.00","https://www.petrol.hr/"
"122","Petrol Charging Station","Radnička cesta 55, 10000, Zagreb","45.801092","16.008394","brzo","6","50.00","0.55","null","null","110","Type 2","22.00","https://www.petrol.hr/"
"122","Petrol Charging Station","Radnička cesta 55, 10000, Zagreb","45.801092","16.008394","brzo","6","50.00","0.55","null","null","109","CHAdeMO","50.00","https://www.petrol.hr/"
"122","Petrol Charging Station","Radnička cesta 55, 10000, Zagreb","45.801092","16.008394","brzo","6","50.00","0.55","null","null","108","CCS","50.00","https://www.petrol.hr/"
"123","ELEN Charging Station","Trg Stjepana Radića 1, 10000, Zagreb","45.800747","15.977965","brzo","3","50.00","1.06","null","null","114","Type 2","43.00","https://elen.hep.hr/"
"123","ELEN Charging Station","Trg Stjepana Radića 1, 10000, Zagreb","45.800747","15.977965","brzo","3","50.00","1.06","null","null","113","CCS","50.00","https://elen.hep.hr/"
"123","ELEN Charging Station","Trg Stjepana Radića 1, 10000, Zagreb","45.800747","15.977965","brzo","3","50.00","1.06","null","null","112","CHAdeMO","50.00","https://elen.hep.hr/"
"124","Hrvatski Telekom Charging Station","Jaruščica 23, 10000, Zagreb","45.769131","15.934288","brzo","3","60.00","null","07:00:00","22:00:00","116","Type 2","22.00","https://www.t.ht.hr/"
"124","Hrvatski Telekom Charging Station","Jaruščica 23, 10000, Zagreb","45.769131","15.934288","brzo","3","60.00","null","07:00:00","22:00:00","115","CCS","60.00","https://www.t.ht.hr/"
"125","Petrol Charging Station","Miramarska Cesta bb, 10000, Zagreb","45.803244","15.974489","standardno","4","22.00","0.43","null","null","117","Type 2","22.00","https://www.petrol.hr/"
"126","Lidl Hrvatska Charging Station","Josipa Jurja Strossmayera 350, 31000, Osijek","45.568074","18.637213","standardno","1","11.00","null","07:00:00","22:00:00","118","Type 2","11.00","https://www.lidl.hr/"
"127","Electric Vehicle Charging Station","Istarska ul. 1, 31000, Osijek","45.560382","18.694205","brzo","3","50.00","0.78","null","null","121","Type 2","43.00","null"
"127","Electric Vehicle Charging Station","Istarska ul. 1, 31000, Osijek","45.560382","18.694205","brzo","3","50.00","0.78","null","null","120","CCS","50.00","null"
"127","Electric Vehicle Charging Station","Istarska ul. 1, 31000, Osijek","45.560382","18.694205","brzo","3","50.00","0.78","null","null","119","CHAdeMO","50.00","null"
"128","Elen Charging Station","Drinska ul., 31000, Osijek","45.547026","18.679725","brzo","3","50.00","0.78","null","null","124","Type 2","43.00","https://elen.hep.hr/"
"128","Elen Charging Station","Drinska ul., 31000, Osijek","45.547026","18.679725","brzo","3","50.00","0.78","null","null","123","CCS","50.00","https://elen.hep.hr/"
"128","Elen Charging Station","Drinska ul., 31000, Osijek","45.547026","18.679725","brzo","3","50.00","0.78","null","null","122","CHAdeMO","50.00","https://elen.hep.hr/"
"129","Porsche Croatia d.o.o. Charging Station","Ul. Svetog Leopolda Bogdana Mandića 22, 31000, Osijek","45.551724","18.667105","brzo","4","50.00","-1.00","null","null","127","Type 2","22.00","https://www.chargepoint.com/"
"129","Porsche Croatia d.o.o. Charging Station","Ul. Svetog Leopolda Bogdana Mandića 22, 31000, Osijek","45.551724","18.667105","brzo","4","50.00","-1.00","null","null","126","CHAdeMO","75.00","https://www.chargepoint.com/"
"129","Porsche Croatia d.o.o. Charging Station","Ul. Svetog Leopolda Bogdana Mandića 22, 31000, Osijek","45.551724","18.667105","brzo","4","50.00","-1.00","null","null","125","CCS2","75.00","https://www.chargepoint.com/"
"130","ELEN Charging Station","31000, Tvrđa, Osijek","45.560902","18.699921","brzo","3","50.00","0.78","null","null","130","Type 2","22.00","https://elen.hep.hr/"
"130","ELEN Charging Station","31000, Tvrđa, Osijek","45.560902","18.699921","brzo","3","50.00","0.78","null","null","129","CCS","50.00","https://elen.hep.hr/"
"130","ELEN Charging Station","31000, Tvrđa, Osijek","45.560902","18.699921","brzo","3","50.00","0.78","null","null","128","CHAdeMO","50.00","https://elen.hep.hr/"